row_key,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-29,2025-09-30,2025-10-09,2025-10-10,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-05
BK0420|航空机场,44|-0.46|5030.93||||,29|-1.09|4976.28||||,75|0.55|5003.7||||,23|-0.30|4988.44||||,18|0.24|5000.5||||,61|0.32|5016.32||||,23|0.76|5054.37||||,56|0.25|5066.93||||,46|0.15|5074.3||||,76|-1.37|5004.82||||,20|0.31|5020.44||||,2|3.16|5179.32||||,14|-0.13|5172.42||||,3|0.84|5215.88||||,5|2.59|5351.12||||,83|0.09|5355.7||||,72|-0.86|5309.6||||,40|0.27|5323.86||||,75|-1.01|5270.16||||,74|0.05|5272.9||||,6|0.97|5324.24||||,23|1.02|5378.44||||,13|-0.19|5368.06||||,70|-0.21|5357.02||||,8|2.01|5464.67||||,27|0.01|5465.33||||,14|1.24|5532.9||||,73|-0.58|5501.04||||,33|0.10|5506.76||||,6|2.96|5669.92||||,39|0.26|5684.79||||,27|-0.05|5681.83||||,34|1.17|5748.06||||,49|-0.44|5722.53||||,72|-0.95|5668.15||||,53|-1.51|5582.36||||,39|-1.10|5520.84||||,48|-0.63|5485.91||||,10|-2.31|5359.1||||,84|-1.10|5300.22||||,85|-0.80|5257.59||||,11|0.36|5276.39||||,70|-0.47|5251.44||||,68|0.62|5284.22||||,14|1.44|5360.24||||,35|-0.30|5344.24||||,4|0.95|5395||||,22|-0.50|5367.98||||,81|0.02|5369.26||||,20|1.31|5439.62||||,60|-1.17|5375.76||||,6|1.46|5453.99||||,74|-2.11|5338.87||||,51|-0.08|5334.56||||,26|0.44|5358.26||||,8|-0.05|5355.72||||,10|2.07|5466.32||||,36|0.43|5489.75||||,36|1.49|5571.6||||,13|1.65|5663.26||||,54|-0.79|5618.68||||,68|0.39|5640.5||||,80|-0.06|5636.9||||,31|0.27|5652.3||||,8|0.92|5704.14||||,82|-1.54|5616.27||||,2|2.41|5751.7||||,83|-0.60|5717.38||||,77|0.50|5746.21||||,55|-0.36|5725.75||||,78|-0.27|5710.47||||,85|-0.62|5674.85||||,70|0.67|5712.8||||,59|-1.49|5627.93||||,83|-1.09|5566.39||||,42|-0.32|5548.38||||,47|-0.42|5525.23||||,8|2.58|5667.89||||,8|1.23|5737.69||||,78|-0.81|5691.31||||,74|0.05|5693.96||||,85|-0.54|5662.97||||,52|-1.47|5579.99||||,46|-0.57|5547.92||||,63|-1.23|5479.51||||,40|-0.36|5459.89||||,28|0.16|5468.42||||,10|-1.13|5406.36||||,54|1.75|5501.01||||,12|0.58|5772.64||||
BK0421|铁路公路,55|-0.62|8831.55||||,17|-0.46|8791.36||||,59|1.00|8879.51||||,59|-0.95|8795.37||||,15|0.33|8824.71||||,54|0.49|8867.55||||,57|-0.06|8862.58||||,65|0.04|8866.35||||,15|1.38|8988.78||||,34|-0.23|8967.88||||,11|0.74|9034.52||||,78|0.27|9058.68||||,8|0.34|9089.88||||,6|-0.11|9079.91||||,54|0.92|9163.49||||,70|1.11|9265.17||||,26|0.19|9282.52||||,29|0.49|9328.28||||,58|-0.33|9297.07||||,78|-0.11|9287.29||||,5|1.09|9388.92||||,71|-0.22|9368.64||||,24|-0.61|9311.23||||,68|-0.11|9301.01||||,20|1.25|9416.96||||,3|1.09|9519.93||||,33|0.81|9596.57||||,50|-0.06|9591.22||||,66|-0.62|9531.5||||,54|0.56|9584.83||||,56|0.02|9586.72||||,33|-0.25|9563.04||||,86|-0.42|9522.78||||,24|0.24|9545.26||||,65|-0.51|9496.23||||,32|-1.05|9396.47||||,52|-1.41|9264.37||||,13|0.11|9274.66||||,13|-2.77|9017.73||||,69|0.27|9042.04||||,48|1.10|9141.28||||,41|-0.38|9106.39||||,63|-0.30|9079.33||||,54|1.02|9171.59||||,80|-0.23|9150.83||||,3|1.39|9277.91||||,11|0.43|9317.76||||,58|-1.20|9206.2||||,64|0.85|9284.59||||,70|-0.07|9278.23||||,45|-0.88|9196.94||||,21|0.66|9257.36||||,54|-1.59|9110.44||||,83|-1.43|8980.35||||,32|0.21|8999||||,10|-0.14|8986.28||||,84|-0.66|8927||||,41|0.29|8952.92||||,46|1.36|9074.53||||,39|0.56|9124.99||||,21|-0.08|9117.77||||,66|0.43|9156.75||||,63|0.34|9187.45||||,17|0.55|9237.57||||,72|-1.01|9144.5||||,73|-1.07|9046.24||||,33|0.27|9070.64||||,85|-0.63|9013.81||||,48|1.15|9117.83||||,71|-0.69|9055.36||||,71|-0.04|9052.14||||,68|0.33|9082.2||||,68|0.77|9152.06||||,27|-0.36|9118.96||||,71|-0.44|9078.7||||,32|-0.03|9075.62||||,37|-0.12|9064.83||||,57|0.65|9123.96||||,18|0.82|9198.34||||,74|-0.45|9156.72||||,56|0.57|9208.69||||,66|0.54|9258.08||||,27|-0.62|9200.41||||,47|-0.60|9145.64||||,20|0.54|9195.03||||,36|-0.23|9173.53||||,30|0.12|9184.24||||,4|-0.70|9119.64||||,81|0.29|9145.83||||,14|0.44|9300.85||||
BK0422|物流行业,65|-0.92|7902.06||||,26|-0.99|7824.06||||,74|0.55|7866.76||||,77|-1.28|7765.74||||,49|-0.47|7729.05||||,68|0.17|7742.14||||,71|-0.39|7711.66||||,49|0.41|7743.47||||,25|0.88|7811.88||||,54|-0.84|7745.9||||,24|0.17|7758.81||||,69|0.58|7803.79||||,27|-0.69|7750.19||||,27|-1.26|7652.46||||,27|1.46|7763.83||||,55|1.40|7872.26||||,54|-0.33|7846.65||||,27|0.51|7886.86||||,46|0.11|7895.22||||,71|0.17|7908.95||||,48|-0.12|7899.21||||,72|-0.35|7871.28||||,20|-0.53|7829.5||||,49|0.52|7870.24||||,43|0.78|7931.38||||,26|0.02|7933.35||||,67|0.16|7946.38||||,54|-0.13|7935.68||||,18|0.57|7981.27||||,46|0.75|8041.19||||,45|0.19|8056.6||||,39|-0.32|8030.68||||,45|0.86|8099.73||||,32|-0.02|8098.08||||,56|-0.12|8088.13||||,49|-1.44|7971.62||||,43|-1.24|7872.73||||,30|-0.36|7844.1||||,36|-3.39|7578.5||||,70|0.17|7591.29||||,63|0.86|7656.6||||,26|-0.16|7644.32||||,50|-0.02|7642.41||||,60|0.93|7713.56||||,33|0.79|7774.82||||,46|-0.44|7740.52||||,10|0.46|7776.37||||,26|-0.53|7735.4||||,61|0.97|7810.34||||,43|0.68|7863.52||||,27|-0.44|7828.64||||,47|0.03|7830.66||||,63|-1.82|7688.29||||,43|0.04|7691.25||||,11|0.82|7754.17||||,15|-0.52|7714.09||||,48|0.49|7752.12||||,50|0.13|7761.99||||,57|1.21|7855.97||||,17|1.35|7961.66||||,62|-1.05|7877.69||||,58|0.62|7926.92||||,12|1.48|8044.63||||,42|0.05|8048.51||||,65|-0.86|7979.18||||,48|-0.69|7924.14||||,29|0.34|7951.1||||,72|0.28|7973.55||||,59|0.95|8049.56||||,63|-0.46|8012.7||||,65|0.37|8042.44||||,69|0.32|8068.07||||,47|1.49|8187.98||||,25|-0.19|8172.81||||,49|0.22|8191.03||||,36|-0.19|8175.41||||,44|-0.39|8143.27||||,39|1.28|8247.77||||,38|0.13|8258.34||||,56|0.14|8269.82||||,25|1.24|8372.12||||,72|0.41|8406.79||||,55|-1.52|8278.97||||,49|-0.61|8228.5||||,48|-0.67|8173.22||||,37|-0.26|8152.1||||,17|0.45|8188.97||||,42|-2.14|8013.79||||,69|1.15|8105.93||||,17|0.17|8225.53||||
BK0424|水泥建材,79|-1.33|28952.52||||,23|-0.90|28691.67||||,53|1.10|29007.99||||,37|-0.64|28821.26||||,32|-0.12|28787.26||||,44|0.74|28999.95||||,35|0.42|29122.78||||,19|1.49|29556.04||||,1|2.76|30371.66||||,77|-1.38|29952.4||||,19|0.34|30053.8||||,28|1.61|30537.65||||,80|-1.99|29930.93||||,22|-1.02|29625.91||||,64|0.68|29827.87||||,44|1.53|30285.5||||,11|0.78|30522.77||||,79|-0.81|30275.77||||,52|-0.13|30235.92||||,28|0.97|30530.19||||,47|-0.10|30500.9||||,80|-0.76|30270.27||||,30|-0.79|30031.82||||,32|1.00|30332.71||||,46|0.69|30543.44||||,6|0.73|30767.6||||,30|0.85|31028.69||||,82|-0.99|30720.32||||,9|1.40|31150.67||||,38|0.91|31434.07||||,8|1.52|31912.99||||,77|-1.26|31510.53||||,54|0.74|31744.18||||,35|-0.11|31709.69||||,37|0.24|31784.25||||,65|-1.90|31178.94||||,81|-2.29|30465.98||||,2|1.30|30860.97||||,29|-3.25|29859.44||||,38|1.29|30245.4||||,30|1.47|30690.48||||,40|-0.36|30580.05||||,85|-1.21|30209.44||||,4|2.32|30911.18||||,44|0.57|31086.76||||,19|0.13|31125.87||||,45|-0.81|30875.15||||,23|-0.51|30717.18||||,54|1.21|31090.04||||,68|-0.05|31075.89||||,75|-1.60|30579.61||||,9|1.17|30937.28||||,33|-1.17|30574.81||||,76|-0.71|30357.56||||,12|0.81|30603.57||||,62|-1.91|30020.47||||,82|-0.61|29838.31||||,58|-0.04|29826.82||||,25|1.81|30366.07||||,37|0.57|30539.92||||,19|0.04|30550.97||||,56|0.64|30745.37||||,58|0.46|30888.01||||,73|-0.62|30695.31||||,21|0.11|30729.04||||,76|-1.16|30373.07||||,16|0.63|30564.05||||,75|0.02|30571.41||||,65|0.85|30832.63||||,19|0.66|31036.63||||,7|2.17|31711.32||||,76|0.18|31769.14||||,59|1.13|32129.1||||,28|-0.37|32009.73||||,69|-0.37|31891.42||||,54|-0.60|31700.58||||,57|-0.80|31447.6||||,51|0.89|31726.3||||,3|1.80|32296.63||||,77|-0.53|32126.27||||,9|2.44|32909.09||||,68|0.53|33083.92||||,39|-1.08|32726.71||||,70|-1.27|32310.32||||,22|0.16|32361.58||||,22|0.42|32497.9||||,51|-0.46|32349.8||||,48|-2.29|31608.83||||,35|2.39|32364.13||||,31|-0.34|32981.27||||
BK0425|工程建设,69|-1.03|26951.47||||,15|-0.19|26899.55||||,68|0.72|27092.2||||,41|-0.71|26899.54||||,13|0.41|27011.09||||,46|0.65|27186.66||||,53|0.00|27186.85||||,21|1.35|27552.62||||,26|0.88|27794.57||||,53|-0.81|27568.51||||,34|-0.02|27562.37||||,55|0.89|27808.57||||,68|-1.51|27389.96||||,31|-1.39|27009.01||||,56|0.91|27255.52||||,10|2.64|27976.23||||,10|0.79|28197.8||||,58|0.01|28200.65||||,56|-0.21|28140.81||||,48|0.58|28302.66||||,63|-0.32|28213.28||||,69|-0.17|28164.63||||,60|-1.39|27774.1||||,65|0.04|27785.3||||,17|1.39|28171.41||||,45|-0.75|27958.96||||,18|1.20|28294.54||||,42|0.15|28336.88||||,32|0.14|28376.19||||,62|0.28|28454.73||||,47|0.16|28500.71||||,56|-0.70|28300.19||||,57|0.71|28502.34||||,39|-0.28|28423.78||||,61|-0.20|28366.75||||,41|-1.31|27996.25||||,60|-1.67|27527.46||||,21|-0.10|27498.8||||,38|-3.44|26553.27||||,20|1.92|27063.33||||,58|0.93|27316||||,33|-0.29|27238.14||||,72|-0.58|27081.49||||,8|2.01|27626.24||||,55|0.29|27707.7||||,37|-0.32|27619.95||||,62|-1.11|27314.12||||,42|-0.90|27068.49||||,37|1.40|27448.42||||,61|0.26|27519.05||||,76|-1.61|27076.99||||,39|0.22|27135.68||||,60|-1.70|26674.26||||,30|0.37|26771.95||||,53|-0.17|26727.48||||,66|-1.99|26194.45||||,67|0.03|26201.32||||,54|0.03|26209.18||||,49|1.32|26555.86||||,36|0.65|26729.04||||,25|-0.14|26692.21||||,36|1.02|26963.15||||,36|0.88|27199.56||||,55|-0.21|27142.66||||,48|-0.37|27040.9||||,71|-1.03|26762.07||||,46|-0.03|26753.43||||,49|1.25|27088.93||||,26|1.69|27547.13||||,33|0.11|27578.48||||,18|1.69|28043.78||||,38|1.17|28371.72||||,74|0.44|28495.56||||,33|-0.58|28330.78||||,56|0.01|28333.92||||,43|-0.36|28231.67||||,21|0.39|28342.54||||,63|0.41|28457.69||||,12|1.09|28767.85||||,61|-0.05|28754.04||||,29|1.15|29085.68||||,51|0.84|29330.01||||,31|-0.76|29105.67||||,43|-0.56|28942.78||||,36|-0.33|28848.19||||,45|-0.73|28638.43||||,14|0.59|28807.18||||,55|-2.50|28085.93||||,47|1.87|28611.31||||,52|-1.15|28522.16||||
BK0427|公用事业,21|0.53|8604.65||||,6|0.44|8642.15||||,28|1.69|8787.81||||,61|-0.98|8701.92||||,34|-0.19|8685.49||||,26|1.11|8781.63||||,86|-1.05|8689.09||||,59|0.22|8707.82||||,3|2.45|8920.77||||,39|-0.43|8882.07||||,18|0.40|8917.26||||,68|0.62|8972.75||||,21|-0.60|8919.13||||,12|-0.51|8873.24||||,11|2.09|9058.53||||,66|1.15|9162.49||||,34|0.08|9169.7||||,17|0.83|9245.72||||,81|-1.41|9114.94||||,76|0.01|9115.6||||,50|-0.16|9101.34||||,40|0.39|9136.72||||,42|-1.06|9039.74||||,60|0.20|9057.99||||,36|0.88|9137.46||||,7|0.65|9196.9||||,23|1.07|9295.16||||,43|0.13|9307.3||||,15|0.72|9374.62||||,74|-0.11|9364.53||||,59|-0.05|9360.25||||,54|-0.65|9299.09||||,71|0.53|9348.76||||,4|1.43|9482.87||||,67|-0.55|9430.79||||,57|-1.63|9277.24||||,46|-1.29|9157.96||||,4|0.74|9225.33||||,49|-3.73|8881.5||||,60|0.52|8927.64||||,67|0.74|8993.3||||,72|-0.95|8907.61||||,10|0.99|8995.63||||,70|0.54|9044.23||||,37|0.72|9109.72||||,29|-0.13|9097.65||||,9|0.50|9143.08||||,5|0.44|9182.98||||,85|-0.58|9129.4||||,83|-0.61|9073.67||||,69|-1.40|8946.84||||,51|-0.05|8942.27||||,16|-0.75|8875.38||||,40|0.11|8885.21||||,54|-0.18|8868.84||||,60|-1.89|8701.47||||,72|-0.05|8696.76||||,49|0.13|8708.49||||,58|1.17|8810.17||||,44|0.47|8851.55||||,61|-1.00|8762.69||||,52|0.70|8824.34||||,40|0.78|8892.98||||,47|-0.06|8887.23||||,63|-0.80|8816.4||||,47|-0.67|8757.04||||,11|0.82|8829.13||||,30|1.82|8990||||,39|1.28|9104.72||||,57|-0.39|9069.46||||,64|0.37|9103.26||||,66|0.44|9143.25||||,66|0.88|9223.68||||,24|-0.12|9213.05||||,63|-0.20|9194.85||||,14|0.51|9241.31||||,22|0.37|9275.25||||,13|2.16|9475.48||||,14|1.02|9572.05||||,63|-0.07|9565.33||||,50|0.65|9627.91||||,76|0.26|9653.24||||,29|-0.64|9591.74||||,64|-1.12|9484.73||||,26|0.09|9492.84||||,26|0.33|9523.7||||,26|0.29|9551.12||||,27|-1.58|9400.53||||,82|0.21|9419.81||||,55|-1.33|9348.24||||
BK0428|电力行业,53|-0.58|17316.73||||,14|-0.19|17283.45||||,69|0.67|17398.57||||,31|-0.54|17304.81||||,9|0.64|17415.75||||,60|0.39|17484.49||||,63|-0.11|17465.5||||,10|2.49|17900.84||||,24|0.96|18072.84||||,40|-0.53|17976.95||||,15|0.42|18051.87||||,57|0.85|18204.88||||,24|-0.67|18083.69||||,30|-1.29|17850.9||||,67|0.60|17958.46||||,57|1.36|18202.24||||,62|-0.56|18100.04||||,13|0.92|18266.01||||,71|-0.90|18101.84||||,14|1.36|18347.21||||,62|-0.28|18296.11||||,30|0.73|18430.22||||,10|-0.10|18412.37||||,77|-0.79|18266.86||||,41|0.80|18412.48||||,17|0.38|18482.38||||,9|1.65|18786.96||||,19|1.07|18988.73||||,45|-0.14|18962.71||||,37|0.94|19141.55||||,68|-0.30|19084.46||||,60|-0.76|18939.77||||,84|-0.02|18936.19||||,36|-0.18|18901.31||||,66|-0.52|18802.25||||,61|-1.84|18457.09||||,23|-0.61|18344.69||||,41|-0.48|18256.3||||,32|-3.33|17648.91||||,78|-0.07|17636.29||||,66|0.77|17772.72||||,22|-0.04|17765.28||||,36|0.35|17826.9||||,66|0.69|17949.32||||,41|0.60|18056.24||||,31|-0.15|18028.95||||,13|0.21|18066.73||||,36|-0.77|17927.64||||,72|0.57|18030.64||||,77|-0.32|17972.63||||,28|-0.51|17881.76||||,44|0.13|17904.5||||,17|-0.85|17752.17||||,13|1.31|17984.47||||,38|0.14|18009.73||||,51|-1.74|17697.06||||,66|0.05|17706.56||||,68|-0.18|17674.53||||,70|0.90|17833.65||||,63|0.17|17863.15||||,31|-0.30|17810.23||||,67|0.40|17881.47||||,70|0.13|17903.94||||,24|0.43|17980.48||||,82|-1.61|17690.27||||,64|-0.93|17524.88||||,60|-0.25|17481.05||||,59|0.92|17641.77||||,53|1.08|17831.7||||,35|0.08|17845.77||||,54|0.60|17952.1||||,62|0.60|18059.71||||,58|1.15|18266.66||||,17|0.31|18323.77||||,43|0.32|18382.1||||,19|0.18|18415.44||||,24|0.33|18476.79||||,32|1.43|18740.23||||,17|0.89|18907.78||||,79|-0.93|18732.66||||,63|0.44|18815.41||||,53|0.83|18971.97||||,23|-0.07|18958.21||||,63|-1.08|18754.34||||,29|0.00|18754.62||||,43|-0.64|18634.89||||,36|-0.13|18611.53||||,19|-1.39|18353.57||||,70|1.13|18560.65||||,67|-1.73|18510.79||||
BK0429|交运设备,61|-0.75|11673.64||||,31|-1.13|11541.58||||,45|1.25|11685.52||||,72|-1.19|11545.97||||,40|-0.27|11515.01||||,50|0.56|11579.18||||,52|0.01|11580.83||||,44|0.56|11645.57||||,30|0.74|11731.9||||,44|-0.57|11664.92||||,49|-0.79|11572.56||||,29|1.51|11747.05||||,34|-0.91|11639.69||||,57|-2.40|11360.08||||,61|0.80|11451.45||||,32|1.86|11664.73||||,45|-0.17|11645.22||||,44|0.23|11671.78||||,31|0.69|11751.84||||,18|1.16|11887.93||||,30|0.33|11926.62||||,55|0.08|11935.71||||,54|-1.26|11785.12||||,58|0.25|11815.06||||,66|0.34|11855.73||||,46|-0.76|11766.14||||,58|0.46|11820.84||||,38|0.30|11855.94||||,54|-0.29|11821.09||||,63|0.23|11847.88||||,17|0.88|11951.69||||,64|-0.78|11858.62||||,77|0.42|11908.13||||,27|0.08|11917.62||||,59|-0.17|11897.25||||,47|-1.43|11726.63||||,28|-0.77|11635.92||||,45|-0.55|11571.81||||,31|-3.33|11186.49||||,46|1.09|11308.74||||,64|0.86|11406.48||||,43|-0.39|11362.56||||,20|0.70|11442.4||||,56|0.99|11555.87||||,57|0.28|11588.63||||,60|-0.83|11491.89||||,34|-0.46|11439.02||||,40|-0.88|11338.8||||,49|1.26|11481.88||||,44|0.62|11553.19||||,32|-0.62|11481.67||||,35|0.36|11522.9||||,32|-1.15|11389.99||||,58|-0.29|11356.77||||,62|-0.49|11300.57||||,24|-0.93|11195.09||||,49|0.49|11249.99||||,25|0.67|11325.44||||,26|1.79|11528.31||||,61|0.19|11549.89||||,42|-0.54|11487.52||||,42|0.90|11591.48||||,41|0.76|11679.91||||,66|-0.46|11626.14||||,16|0.40|11672.54||||,55|-0.73|11587.19||||,25|0.44|11638.18||||,63|0.60|11707.64||||,32|1.59|11894.22||||,76|-0.82|11797.24||||,29|1.12|11929.71||||,73|0.23|11957.46||||,46|1.52|12138.98||||,37|-0.76|12046.34||||,76|-0.58|11976.85||||,29|-0.01|11975.8||||,33|0.00|11975.9||||,35|1.34|12136.79||||,47|-0.29|12101.44||||,34|0.88|12208.43||||,46|0.73|12298.04||||,63|0.57|12368.3||||,46|-1.38|12197.29||||,26|0.03|12200.4||||,58|-1.06|12071.43||||,70|-1.58|11881.03||||,33|0.03|11884.97||||,34|-1.83|11667.05||||,52|1.80|11876.86||||,33|-0.47|11909.46||||
BK0433|农牧饲渔,66|-0.94|15491.8||||,40|-1.32|15287.66||||,62|0.90|15425||||,64|-1.01|15268.89||||,10|0.52|15348.7||||,83|-0.25|15309.62||||,51|0.01|15311.42||||,68|0.00|15310.96||||,12|1.43|15529.38||||,27|0.08|15541.98||||,22|0.28|15584.81||||,74|0.39|15646.08||||,36|-0.99|15491.96||||,15|-0.69|15385.83||||,74|0.32|15435.4||||,52|1.44|15657.11||||,67|-0.71|15545.72||||,34|0.41|15609.52||||,47|0.00|15609.6||||,38|0.79|15733.54||||,37|0.19|15764.1||||,38|0.42|15829.62||||,18|-0.49|15751.5||||,31|1.05|15916.72||||,19|1.28|16120.2||||,22|0.09|16134.69||||,34|0.80|16264.57||||,69|-0.49|16185.16||||,36|0.06|16195.44||||,26|1.18|16386.44||||,14|1.01|16552.35||||,42|-0.40|16486.93||||,75|0.45|16560.61||||,21|0.32|16613.95||||,22|0.60|16713.08||||,23|-0.80|16578.89||||,9|0.64|16685.77||||,69|-1.39|16454.37||||,6|-1.95|16133.77||||,54|0.73|16250.79||||,84|-0.23|16213.87||||,78|-1.10|16035.6||||,52|-0.07|16023.93||||,28|1.47|16259.9||||,60|0.24|16298.98||||,18|0.15|16323.66||||,46|-0.82|16190.56||||,78|-1.74|15909.64||||,53|1.21|16102.87||||,46|0.58|16196.73||||,52|-1.03|16029.12||||,33|0.39|16092.37||||,59|-1.67|15823.49||||,50|-0.08|15810.89||||,15|0.76|15931.66||||,22|-0.93|15784.14||||,73|-0.17|15757.53||||,44|0.21|15790.88||||,15|2.13|16126.63||||,30|0.85|16262.97||||,60|-1.00|16099.54||||,74|0.16|16125.19||||,60|0.43|16195||||,22|0.47|16271.39||||,50|-0.44|16200.28||||,39|-0.48|16123.22||||,69|-0.51|16040.26||||,73|0.24|16078.96||||,54|1.07|16251.31||||,48|-0.26|16208.8||||,57|0.53|16294.54||||,60|0.62|16394.9||||,76|0.39|16458.35||||,36|-0.74|16335.77||||,51|0.20|16368||||,50|-0.54|16279.62||||,53|-0.65|16174.08||||,31|1.47|16412.47||||,41|-0.08|16399.78||||,65|-0.16|16372.9||||,47|0.70|16487.42||||,69|0.51|16571.32||||,20|0.34|16627.57||||,78|-1.68|16348.62||||,15|0.90|16496.46||||,19|0.61|16597.44||||,1|1.97|16924.32||||,70|-3.49|16333.55||||,79|0.45|16407.22||||,44|-0.78|16382.49||||
BK0436|纺织服装,64|-0.91|13199.36||||,21|-0.74|13101.4||||,47|1.16|13252.77||||,63|-1.00|13119.87||||,30|-0.09|13107.81||||,58|0.39|13159.18||||,76|-0.56|13085.6||||,73|-0.27|13050.15||||,7|1.67|13268.66||||,50|-0.79|13164.44||||,28|0.12|13180.59||||,14|2.11|13458.07||||,39|-1.03|13319.19||||,14|-0.68|13228.96||||,42|1.13|13378.48||||,29|1.96|13640.34||||,43|-0.17|13617.23||||,53|0.09|13629.39||||,61|-0.46|13566.3||||,60|0.36|13614.79||||,23|0.41|13670.37||||,77|-0.50|13602.54||||,17|-0.49|13535.28||||,15|1.65|13759.19||||,14|1.55|13972.4||||,11|0.45|14034.64||||,55|0.47|14101||||,62|-0.27|14063.53||||,28|0.17|14087.64||||,30|1.08|14239.13||||,48|0.15|14260.78||||,8|0.84|14381.11||||,25|1.46|14590.92||||,17|0.56|14672.55||||,35|0.31|14718.02||||,10|0.07|14729.05||||,25|-0.72|14623.57||||,49|-0.68|14523.76||||,66|-4.38|13887.27||||,64|0.40|13942.41||||,34|1.38|14134.78||||,10|0.37|14187.02||||,44|0.15|14207.83||||,59|0.94|14341.42||||,70|0.12|14358.43||||,26|-0.09|14345.56||||,40|-0.70|14245.16||||,68|-1.44|14039.87||||,69|0.63|14129.01||||,38|0.82|14244.79||||,19|-0.11|14228.46||||,60|-0.16|14205.62||||,83|-2.75|13815.53||||,75|-0.69|13720.6||||,30|0.26|13756.35||||,34|-1.39|13565.65||||,57|0.32|13609.12||||,16|0.95|13738.56||||,5|2.53|14085.52||||,73|-0.25|14050.08||||,55|-0.83|13934.13||||,39|0.96|14067.47||||,15|1.33|14254.09||||,49|-0.12|14236.36||||,22|0.08|14248.13||||,16|0.24|14282.85||||,15|0.67|14378.99||||,70|0.32|14424.66||||,73|0.61|14511.96||||,65|-0.51|14437.66||||,38|0.91|14569.19||||,28|1.31|14760.51||||,39|1.69|15010.39||||,39|-0.84|14883.83||||,62|-0.13|14864.97||||,71|-1.32|14668.56||||,31|0.08|14680.39||||,34|1.37|14881.4||||,40|-0.04|14875.75||||,35|0.85|15002.32||||,28|1.15|15175.41||||,55|0.78|15294.38||||,59|-1.60|15049.21||||,44|-0.56|14964.79||||,52|-0.74|14853.87||||,28|0.10|14868.79||||,7|0.95|15010.06||||,18|-1.38|14802.79||||,58|1.60|15040.32||||,6|1.28|15312.18||||
