date,war,semic,hknewmed,game,newmed,noblemetal,bank,micro,photovoltaic,rareearth,ai,communication,hkdividend,5g,construction,cloudcompute,liquor,hktech,medicine,colormetal,computer,trader,cnmedicine,coal,medical,newenergy,farming,sports,software,hkmedicine,electrical,insurance,consumerelectronics,steel,realestate,hkcomsumer,battery,newenergycar,homeelectricappliance,food,envprotection
2024-08-05,9034.43,4332.64,,1118.08,1448.54,1871.37,6049.29,,1977.88,1248.95,898.29,835.41,3669.09,760.74,7203.79,2922.75,9805.31,1750.46,7237.68,1507.31,4716.42,586.44,9458.54,2006.92,5998.29,1682.03,4582.61,1174.45,8874.93,1813.77,2913.77,1749.7,2589.1,794.25,2353.54,963.32,2022.94,1509.43,8982.84,14436.53,1289.19
2024-08-06,9257.18,4366.24,,1156.51,1473.95,1840.33,5985.63,,2052.15,1262.92,909.68,851.17,3645.8,776.26,7222.61,2962.64,9858.85,1758.84,7323.63,1507.07,4754.26,586.58,9601.21,2026.35,6096.37,1718.46,4614.72,1202.37,8931.18,1875.66,2916.28,1686.99,2615.89,797.27,2411.89,960.21,2066.26,1525.98,8929.83,14557.41,1307.6
2024-08-07,9315.06,4318.63,,1153.46,1461.13,1850.65,5995.65,,2047.95,1260.97,900.0,852.94,3693.05,773.99,7213.38,2937.11,9958.2,1772.21,7275.57,1510.55,4704.54,584.3,9551.61,2048.22,6049.67,1715.69,4552.37,1202.09,8885.75,1883.23,2950.94,1671.67,2597.62,794.21,2388.1,971.86,2060.23,1520.24,8948.84,14596.63,1309.61
2024-08-08,9023.58,4339.03,,1141.15,1461.22,1821.83,6008.73,,2038.42,1257.39,894.16,844.67,3670.91,770.65,7203.02,2912.64,10125.05,1770.19,7306.23,1496.89,4676.39,586.32,9704.21,2049.54,6044.31,1705.33,4611.16,1203.02,8817.71,1888.84,2931.24,1673.97,2608.11,796.42,2421.87,969.2,2042.69,1511.92,8932.9,14837.9,1302.46
2024-08-09,8913.95,4338.74,,1116.99,1438.09,1834.16,6036.1,,2007.82,1250.28,894.55,849.05,3692.71,777.86,7211.5,2893.07,10064.42,1802.23,7187.18,1499.86,4633.48,580.43,9581.81,2061.27,5938.49,1682.07,4552.04,1182.13,8738.0,1899.98,2910.74,1669.8,2627.58,793.03,2462.45,982.19,2015.82,1497.2,8887.09,14725.51,1285.41
2024-08-12,8818.49,4304.08,,1101.96,1453.85,1839.44,6026.43,,2000.37,1243.82,888.96,847.46,3714.16,775.89,7167.66,2861.17,10007.76,1800.96,7275.89,1499.04,4582.72,578.98,9841.13,2071.66,5967.12,1674.69,4580.76,1173.27,8607.1,1915.48,2902.41,1671.97,2619.0,786.74,2383.8,975.67,1998.83,1486.28,8913.49,14686.05,1279.49
2024-08-13,8931.11,4344.14,,1103.77,1442.92,1850.71,6052.48,,2005.8,1254.3,896.23,857.94,3738.04,785.38,7205.18,2882.17,9879.01,1806.75,7214.53,1508.48,4608.65,586.48,9765.38,2062.86,5945.77,1687.82,4601.79,1175.27,8642.26,1914.35,2909.4,1682.42,2647.11,791.88,2377.41,976.66,2023.83,1497.45,8885.98,14540.24,1288.36
2024-08-14,8822.42,4286.24,,1122.97,1417.95,1832.62,6048.98,,1979.67,1238.05,891.41,850.25,3729.14,780.92,7166.7,2856.27,9749.28,1788.08,7101.79,1487.31,4579.3,582.11,9642.74,2034.7,5829.95,1665.74,4525.85,1183.02,8584.48,1875.45,2935.5,1676.75,2627.05,778.95,2356.31,970.58,1987.19,1469.3,8813.65,14341.94,1279.15
2024-08-15,8861.53,4313.96,,1161.05,1428.93,1837.85,6128.17,,2010.19,1247.25,897.13,851.18,3770.74,781.38,7254.19,2883.73,9797.52,1796.58,7143.64,1500.22,4627.19,588.76,9657.99,2075.43,5858.19,1682.07,4532.68,1207.79,8691.71,1892.78,2964.37,1699.06,2629.86,785.39,2396.92,967.7,2003.87,1485.91,8839.82,14418.89,1291.74
2024-08-16,8735.37,4291.64,,1142.16,1437.27,1823.4,6200.65,,1982.29,1238.35,899.46,861.51,3813.81,789.13,7208.67,2882.4,9750.0,1826.33,7146.91,1497.93,4600.45,584.36,9642.26,2076.66,5851.67,1662.68,4462.07,1189.67,8601.11,1932.13,2935.02,1714.84,2633.79,777.82,2363.05,988.81,1979.48,1476.12,8833.02,14320.5,1277.48
2024-08-19,8701.43,4291.37,,1153.35,1425.19,1882.77,6319.48,,1959.46,1242.49,904.94,863.35,3820.35,788.44,7298.24,2912.52,9702.86,1843.8,7083.77,1523.84,4614.95,583.98,9569.76,2072.87,5798.03,1656.07,4432.9,1194.53,8686.04,1932.19,2946.37,1749.58,2634.92,778.78,2358.43,995.73,1973.16,1474.23,8832.84,14259.99,1273.52
2024-08-20,8558.43,4228.19,,1133.89,1402.29,1859.48,6338.22,,1938.27,1221.03,891.57,853.72,3795.95,779.67,7219.38,2851.01,9609.28,1839.35,6988.65,1506.07,4514.34,577.66,9454.4,1992.81,5683.04,1641.53,4336.77,1182.07,8491.48,1919.13,2918.7,1746.08,2611.99,768.16,2319.33,992.19,1947.91,1462.27,8791.94,14091.83,1261.57
2024-08-21,8510.46,4195.46,,1116.98,1387.8,1890.56,6292.02,,1915.74,1232.21,892.45,854.36,3791.3,783.04,7137.63,2832.99,9550.14,1827.56,6939.61,1522.74,4488.55,575.76,9347.37,1991.68,5633.3,1634.84,4262.09,1177.45,8422.9,1910.7,2891.54,1733.1,2629.24,764.39,2311.31,987.53,1957.05,1473.81,8784.17,14013.48,1255.73
