code,section
931250,hknewmed
930965,hkmed
931152,newmed
000933,medicine
399989,medical
930641,cnmed
H30590,robot
H30184,semic
931071,ai
930851,cloudcom
H30202,software
930651,computer
931079,5g
931144,communicate
931151,photovol
000827,envprotect
931719,battery
399808,neweng
930997,newcar
931573,hktech
931454,hkcomsu
800007,micro
399967,war
930914,hkdivid
930901,game
399804,sports
930598,rareearth
931238,noblemetal
930708,colormetal
399997,liquor
930653,food
H30199,electrical
931494,consumelec
930697,homelecapplic
000949,farming
930608,construct
931775,estate
399998,coal
930606,steel
399975,trader
399986,bank
399809,insurance
